縣市,字號,"執照類別 ",狀態,機構名稱,負責獸醫,發照日期,機構地址
台北市,北市獸業字第429號,獸醫師,開業,王樣動物醫院,王禎祥,2011/05/25,臺北市大安區金華街217號
台北市,北市獸業字第428號,獸醫師,開業,大直動物醫院,吳伊婷,2011/05/24,臺北市中山區北安路462號1樓
高雄市,高市獸師開字第264號,獸醫師,開業,藍天動物醫院,邱冠綾,2011/05/18,高雄市三民區北平一街175號
新北市,新北獸醫業字第291號,獸醫師,開業,禾米動物醫院,李健源,2011/05/13,新北市土城區金城路三段173號
苗栗縣,苗縣獸師開字第97032號,獸醫師,開業,東方獸醫院,徐慶宏,2011/05/12,苗栗市中正路72-1號
高雄市,高市獸師開字第263號,獸醫師,開業,柏林動物醫院,楊啟涼,2011/04/26,高雄市苓雅區苓雅一路31號一、二樓
台北市,北市獸業字第426號,獸醫師,開業,全民連鎖動物醫院信義院,張國彬,2011/04/25,臺北市大安區信義路4段406、408號1、2樓
台南市,南市獸開字第120號,獸醫師,開業,台灣嘉南動物醫院,黃士維,2011/04/20,臺南市北區長榮路5段425號
台中市,中市獸醫開字第235號,獸醫師,開業,安可動物醫院,黃應晴,2011/04/20,臺中市太平區太平路643號
台北市,北市獸業字第425號,獸醫師,開業,成功動物醫院,姜家麟,2011/04/18,臺北市中山區天祥路3號1樓
台北市,北市獸業字第424號,獸醫師,開業,小小貓咪動物醫院,徐綺羚,2011/04/15,臺北市中山區北安路458巷47弄10號1樓
高雄市,高市獸師開字第262號,獸醫師,開業,德民動物醫院,林協興,2011/04/14,高雄市楠梓區德民路208號
高雄市,高市獸師開字第261號,獸醫師,開業,樂活動物醫院,陳秋妹,2011/04/14,高雄市苓雅區同慶路108號
桃園市,桃獸師開執字第150號,獸醫師,開業,中山動物醫院中正分院,林建良,2011/04/14,中壢市延平路583號
彰化縣,彰府農防師開字第112號,獸醫師,開業,慧光動物醫院,吳倍宜,2011/04/12,彰化市四維路69巷38號
彰化縣,彰府農防師開字第111號,獸醫師,開業,福來(Fly)動物醫院,吳文祥,2011/04/08,彰化縣員林鎮浮圳路2段352之1號
彰化縣,彰府農防師開字第110號,獸醫師,開業,普維動物醫院,徐宏仁,2011/04/06,彰化縣二林鎮後厝里五權街13號
高雄市,高市獸師開字第260號,獸醫師,開業,新民動物醫院,連治明,2011/03/23,高雄市鳳山區新富路326號
澎湖縣,府授畜防字第1003900011號,獸醫師,開業,米克斯的動物醫院,洪旭峰,2011/03/21,澎湖縣白沙鄉講美村138-1號
新北市,新北獸醫業字第290號,獸醫師,開業,愛達司動物醫院,陳稚文,2011/03/21,新北市新店區中興路一段261號
新北市,新北獸醫業字第289號,獸醫師,開業,日祥動物醫院,李佳陵,2011/03/16,新北市林口區竹林路17號
基隆市,基市獸開字第28號,獸醫師,開業,汪汪寶貝動物醫院,周佑羿,2011/03/03,基隆市信義區深溪路130號1樓
台中市,中市獸醫開字第232號,獸醫師,開業,福樂動物醫院,郭育霖,2011/02/25,臺中市西屯區大隆路149號
高雄市,高市獸師開字第259號,獸醫師,開業,中興農十六動物醫院,古峰豪,2011/02/23,高雄市鼓山區大順一路935號
高雄市,高市獸師開字第258號,獸醫師,開業,統一動物醫院,康景億,2011/02/21,高雄市梓官區赤西里6鄰赤崁南路136號
台北市,北市獸業字第419號,獸醫師,開業,北安動物醫院,陳威達,2011/02/18,臺北市中山區北安路642號1樓
台北市,北市獸業字第420號,獸醫師,開業,中山動物醫院內湖分院,余鎧宏,2011/02/18,臺北市內湖區文德路93號1樓
桃園市,桃獸師開執字第197號,獸醫師,開業,宥昇動物醫院,何彥麟,2011/02/16,桃園市民族路97號
高雄市,高市獸師開字第255號,獸醫師,開業,加康動物醫院,向恆逸,2011/02/10,高雄市三民區覺民路524號
高雄市,高市獸師開字第257號,獸醫師,開業,阿宅動物醫院,歐陽斌,2011/02/07,高雄市前鎮區正勤路9號
新北市,新北獸醫業字第288號,獸醫師,開業,麗園動物醫院八里分院,林盈勳,2011/02/01,新北市八里區中山路二段421號1樓
彰化縣,彰府農防師開字第108號,獸醫師,開業,振森動物診所,張書瑋,2011/01/28,彰化縣二林鎮斗苑路4段241號
新北市,新北獸醫業字第286號,獸醫師,開業,新莊太僕動物醫院,籃俊偉,2011/01/27,新北市新莊區中正路853號
新北市,新北獸醫業字第285號,獸醫師,開業,藍世界動物醫院,姜臺生,2011/01/27,新北市樹林區中正路506號
台中市,中市獸醫開字第218號,獸醫師,開業,諾德動物醫院,呂柏賢,2011/01/12,台中市青海路二段207-2號
台北市,北市獸業字第416號,獸醫師,開業,101台北貓醫院,陳千雯,2011/01/12,臺北市中山區建國北路3段101號
嘉義縣,嘉府獸師開字第64號,獸醫師,開業,凱悅動物醫院,林怡孜,2011/01/11,嘉義縣民雄鄉三興村南華路2段76號
高雄市,高市獸師開字第236號,獸醫師,開業,高雄市動物保護處,徐榮彬,2011/01/01,高雄市鳳山區忠義街166號
高雄市,高市獸師開字第254號,獸醫師,開業,佰成動物醫院,吳玟軒,2010/12/23,高雄市大寮區鳳林三路674號
新竹縣,竹縣字第25號,獸醫師,開業,博恩動物醫院,莊博智,2010/12/15,新竹縣竹北市科大一路286號
台北市,北市獸業字第413號,獸醫師,開業,明德動物醫院,葉俊沐,2010/12/13,臺北市北投區明德路115號1樓
高雄市,高縣獸醫開字第383號,獸醫師,開業,家和動物醫院,楊周樺,2010/11/25,高雄市橋頭區隆豐路223號
雲林縣,雲診字第85號,獸醫師,開業,誠浩動物醫院,周鉦浩,2010/11/19,雲林縣斗南鎮西歧里建國一路55號
桃園市,桃獸師開執字第219號,獸醫師,開業,普羅動物醫院,梁文雯,2010/11/19,桃園市中山路928號
台中市,中縣畜開字第144號,獸醫師,開業,普羅旺斯動物醫院,朱峻範,2010/11/09,豐原區圓環南路235號
花蓮縣,府農漁開字第31號,獸醫師,開業,和平動物診所,李秋吉,2010/11/08,花蓮縣玉里鎮和平路60號
基隆市,基市獸開字第27號,獸醫師,開業,東尚動物醫院,林立,2010/10/26,基隆市東明路159號
新北市,北縣獸醫業字第282號,獸醫師,開業,四季動物醫院,黃玠晟,2010/10/22,新北市淡水區民族路33巷16-19號1樓
台中市,中市獸醫開字第207號,獸醫師,開業,凡賽爾賽鴿動物醫院,張能輝,2010/10/20,台中市西屯區台灣大道三段292號
高雄市,高市獸師開字第253號,獸醫師,開業,信安動物醫院,張家群,2010/10/14,高雄市前鎮區鎮北里前鎮街101號
雲林縣,雲診字第84號,獸醫師,開業,佑安動物醫院,潘秋婉,2010/10/12,雲林縣斗六市永安路110號
高雄市,高縣獸醫開字第379號,獸醫師,開業,安心動物醫院,吳忠憲,2010/09/30,高雄市鳳山區武慶二路74號
新竹市,竹市府產農字第990049638號,獸醫師,開業,新竺動物醫院,劉珮綸,2010/09/27,新竹市竹光路98號
新北市,北縣獸醫業字第281號,獸醫師,開業,集賢愛生動物醫院,楊振墉,2010/09/24,新北市三重區集賢路40號及42號1樓
台南市,南市獸開字第119號,獸醫師,開業,豪斯動物醫院,黃少谷,2010/09/23,臺南市北區文賢路1086號
台北市,北市獸業字第411號,獸醫師,開業,艾爾瑪動物醫院,林欣怡,2010/09/17,臺北市信義區仁愛路4段452巷8號1樓
台南市,南縣獸師診開字第189號,獸醫師,開業,大群動物醫院,謝豐舟,2010/09/17,台南市麻豆區保安里8鄰文昌路17-5號
桃園市,桃獸師開執字第216號,獸醫師,開業,聖愛動物醫院,高曉農,2010/08/18,桃園市大有路445號1樓
新北市,北縣獸醫業字第278號,獸醫師,開業,耕莘動物醫院,馬瞻,2010/08/18,新北市新店區光明街157號1樓
台北市,北市獸業字第410號,獸醫師,開業,愛狗園動物醫院,林佳靜,2010/08/18,臺北市大安區基隆路2段124號
新北市,北縣獸醫業字第277號,獸醫師,開業,喬伊寵物醫院,楊贊育,2010/08/10,"新北市新店區 中興里檳榔路9號"
高雄市,高市獸師開字第252號,獸醫師,開業,富恩動物醫院,簡世鑫,2010/08/02,高雄市鼓山區文忠路135號
台北市,北市獸業字第264號,獸醫師,開業,洪生動物醫院,廖陳胤,2010/08/02,臺北市南港區忠孝東路7段571號1樓
基隆市,基市獸開字第26號,獸醫師,開業,汎汶動物醫院,黃忠志,2010/08/01,"基隆市仁四路17之1 號"
桃園市,桃獸師開執字第214號,獸醫師,開業,思邁爾動物醫院中壢分院,施亮煒,2010/07/30,中壢市環北路562號
台南市,南市獸開字第118號,獸醫師,開業,勝立動物醫院,侯佳慧,2010/07/26,台南市勝利路391號
台中市,中市獸醫開字第231號,獸醫師,開業,加諾動物醫院,張琪玟,2010/07/21,臺中市西屯區太原路一段211號
雲林縣,雲診字第82號,獸醫師,開業,湯姆貓動物醫院,洪國晉,2010/07/15,雲林縣虎尾鎮院前街18號
苗栗縣,苗縣獸師開字第97031號,獸醫師,開業,波比寵物專科診所,莊孟修,2010/07/12,竹南鎮光復路436號
台中市,中市獸醫開字第230號,獸醫師,開業,全邑動物醫院,黃兆銓,2010/07/09,臺中市北區德化街227號
桃園市,桃獸師開執字第166號,獸醫師,開業,圓霖動物醫院新生分院,王璿雯,2010/07/07,桃園市中壢區新生路286號
新北市,北縣獸醫業字第274號,獸醫師,開業,智遇動物醫院,蔡文智,2010/07/06,新北市汐止區明峰街39號1樓、B1
桃園市,桃獸師開執字第86號,獸醫師,開業,天一動物醫院,陳英偉,2010/07/06,桃園市中壢區中華路一段426號
新北市,北縣獸醫業字第273號,獸醫師,開業,鶯歌奇緣動物醫院,曾伊徵,2010/07/05,新北市鶯歌區光明街24號
高雄市,高市獸師開字第251號,獸醫師,開業,微笑動物醫院,蔡畯吉,2010/06/28,高雄市新興區七賢一路462號
桃園市,桃獸師開執字第213號,獸醫師,開業,圓霖動物醫院,鄭宏均,2010/06/28,桃園市中正路836號
屏東縣,屏獸開字第91號,獸醫師,開業,里鴻賽鴿水產動物綜合醫院,尤薪泓,2010/06/24,屏東縣里港鄉鐵店路34-13號
台南市,南市獸開字第117號,獸醫師,開業,詹姆斯動物醫院,李芝穎,2010/06/18,台南市南門路179-4號
台中市,中市獸醫開字第229號,獸醫師,開業,心美動物醫院,余永元,2010/06/15,臺中市南屯區文心路一段372號
嘉義縣,嘉府獸師開字第63號,獸醫師,開業,鴻昌動物醫院,王鴻昌,2010/06/07,嘉義縣民雄鄉建國路2段185-13號
新北市,北縣獸醫業字第272號,獸醫師,開業,台大文仁動物醫院,張峰瑞,2010/06/02,新北市板橋區篤行路三段64號1樓
台北市,北市獸業字第405號,獸醫師,開業,維康動物醫院,林念儀,2010/05/27,臺北市內湖區成功路3段150號1樓
台北市,北市獸業字第406號,獸醫師,開業,加生動物醫院,廖柏松,2010/05/27,臺北市北投區石牌路1段95號1樓
台中市,中市獸醫開字第228號,獸醫師,開業,哈佛動物醫院,賴彥呈,2010/05/26,臺中市南屯區豐樂里20鄰文心南三路691號
高雄市,高市獸師開字第249號,獸醫師,開業,佳醫動物醫院,陳文淯,2010/05/21,高雄市楠梓區德民路970號
苗栗縣,苗縣獸開字第97030號,獸醫師,開業,通霄獸醫院,張克世,2010/05/21,通霄鎮福德路5號
台中市,中縣畜開字第142號,獸醫師,開業,星光動物醫院,何宗錩,2010/05/17,台中市龍井區遊園南路277號
台北市,北市獸業字第404號,獸醫師,開業,新亞動物醫院,張大芃,2010/05/13,臺北市松山區延壽街390號1樓
台北市,北市獸業字第402號,獸醫師,開業,全民連鎖動物醫院總院,李美玲,2010/05/11,臺北市大同區民生西路247、249號1、2樓
台中市,中縣畜開字第141號,獸醫師,開業,聖愛動物醫院仁化店,陳秀珠,2010/05/10,台中市大里區仁化路770號
彰化縣,彰府農防師開字第106號,獸醫師,開業,耐久能賽鴿醫院,張偉忠,2010/05/04,彰化縣員林鎮中山路2段277巷49號
新北市,北縣獸醫業字第271號,獸醫師,開業,愛馨動物醫院,何丞剛,2010/05/03,新北市瑞芳區一坑路32-3號1樓
台北市,北市獸業字第399號,獸醫師,開業,恩典動物醫院,朱淵源,2010/04/29,臺北市中山區民生東路2段45號1樓及2樓
台南市,南市獸開字第116號,獸醫師,開業,仁美動物醫院,陳建禎,2010/04/15,臺南市北區北安路1段271號
台北市,北市獸業字第398號,獸醫師,開業,廣慈動物醫院,張坤銘,2010/04/06,臺北市中山區錦州街371號1樓
台北市,北市獸業字第395號,獸醫師,開業,長沁動物醫院,張婷婷,2010/04/01,臺北市大同區重慶北路3段17號
台南市,南縣獸師診開字第187號,獸醫師,開業,柯建章動物醫院,柯建章,2010/03/30,台南市仁德區中正西路20號
台北市,北市獸業字第394號,獸醫師,開業,恩旺動物醫院,關宇瑔,2010/03/29,臺北市中正區羅斯福路2段7-4號
高雄市,高市獸師開字第248號,獸醫師,開業,捷飛達動物醫院,陳俊傑,2010/03/29,高雄市左營區榮總路396號
嘉義市,嘉市獸開字第83號,獸醫師,開業,丸三動物醫院－仁愛分院,朱信遠,2010/03/22,嘉義市仁愛路236號
台北市,北市獸業字第393號,獸醫師,開業,康廷動物醫院,廖建洋,2010/03/22,台北市中正區寧波西街88號1樓
高雄市,高市獸師開字第247號,獸醫師,開業,心心動物診所,蕭承浩,2010/03/12,高雄市左營區博愛二路202號
高雄市,高縣獸醫開字第369號,獸醫師,開業,吉祥動物醫院,楊哲豪,2010/03/05,高雄市仁武區大灣里八德南路576號
台北市,北市獸業字第391號,獸醫師,開業,安興動物醫院,吳致銓,2010/02/26,臺北市信義區吳興街478號1樓
台中市,中市獸醫開字第227號,獸醫師,開業,沐恩動物醫院,賴建宏,2010/02/23,臺中市北區健行路865號
嘉義縣,嘉府獸師開字第61號,獸醫師,開業,東盟獸醫院,蔡泳得,2010/02/02,嘉義縣布袋鎮興中里博愛1街
台北市,北市獸業字第390號,獸醫師,開業,品安動物醫院,陳厚安,2010/01/25,臺北市文山區羅斯福路6段89號1樓
苗栗縣,苗縣獸開字第97029號,獸醫師,開業,日上動物醫院,羅杲圭,2010/01/14,公館鄉通明街30號
台中市,中市獸醫師開字第66號,獸醫師,開業,興緣動物醫院,林國欽,2009/12/30,台中市西區五廊街63號
高雄市,高縣獸醫開字第364號,獸醫師,開業,旺旺動物醫院,王琇賢,2009/12/23,高雄市旗山區延平一路351號
台北市,北市獸業字第389號,獸醫師,開業,聖地牙哥動物醫院,李安琪,2009/12/04,臺北市大安區羅斯福路3段65號3樓之1
屏東縣,屏獸開字第90號,獸醫師,開業,上恩動物醫院,黃毓慧,2009/11/20,屏東市建豐路181號
基隆市,基市獸開字第24號,獸醫師,開業,小太陽動物醫院,吳中勇,2009/11/16,基隆市成功二路171號1樓及地下一樓
台北市,北市獸業字第388號,獸醫師,開業,納嘉動物醫院,楊世鴻,2009/10/29,臺北市內湖區成功路5段55號1樓
新北市,北縣獸醫業字第269號,獸醫師,開業,來來動物醫院,張康銘,2009/10/21,中和區德光路29號
雲林縣,雲診字第32號,獸醫師,開業,斗六動物醫院,劉善評,2009/10/09,雲林縣斗六市雲林路一段82號
新竹市,竹市府產農字第980049632號,獸醫師,開業,紐約動物醫院,陳玉霖,2009/10/01,新竹市民族路247號
高雄市,高市獸師開字第245號,獸醫師,開業,尚大動物醫院,陳泰霖,2009/09/25,高雄市小港區大鵬路166號
桃園市,桃獸師開執字第209號,獸醫師,開業,東昇動物醫院,黃莉,2009/09/25,楊梅鎮新成路109號
台中市,中市獸醫開字第217號,獸醫師,開業,全國動物醫院七期分院,鄭玉津,2009/09/24,台中市南屯區五權西路二段207號
桃園市,桃獸師開執字第208號,獸醫師,開業,寶慶動物醫院,李後杉,2009/09/08,桃園市寶慶里14鄰寶慶路286號
台南市,南縣獸師診開字第185號,獸醫師,開業,慈愛動物醫院大灣分院,周業華,2009/09/03,台南市永康區大灣路770-2號
嘉義縣,嘉府獸師開字第60號,獸醫師,開業,溫哥華賽鴿動物醫院,江智勇,2009/09/01,嘉義縣太保市中山路1段75號
台南市,南市獸開字第54號,獸醫師,開業,慈愛動物醫院小北分院,鄭文欽,2009/08/26,台南市西門路四段440號
台南市,南市獸開字第80號,獸醫師,開業,慈愛動物醫院海佃分院,葉英俊,2009/08/26,台南市安南區海佃路一段64號之1
屏東縣,屏獸開字第89號,獸醫師,開業,佳犬家畜醫院,龔蜀屏,2009/08/18,屏東縣長治鄉崙上村光華巷68-5號
台中市,中市獸醫開字第226號,獸醫師,開業,鑫鑫動物醫院,林鋐鑫,2009/08/17,臺中市中區中華里中華路一段112號
新北市,北縣獸醫業字第264號,獸醫師,開業,樂活動物醫院,楊博俊,2009/07/22,新北市永和區中興街107號1樓
新竹市,竹市府產農字第980078630號,獸醫師,開業,風城動物醫院,許幸宗,2009/06/20,新竹市中華路4段32號
台中市,中縣畜開字第139號,獸醫師,開業,家安動物醫院,傅啟嘉,2009/06/17,東勢區新豐街34號
台中市,中市獸醫開字第224號,獸醫師,開業,威爾斯動物醫院北屯分院,張齡徽,2009/05/27,臺中市北屯區崇德路二段281號
高雄市,高市獸師開字第242號,獸醫師,開業,十銓動物醫院,金昇輝,2009/05/26,高雄市三民區十全二路99號
新北市,北縣獸醫業字第262號,獸醫師,開業,正吉動物醫院,呂育臣,2009/05/15,新北市中和區安樂路23號1樓
新北市,北縣獸醫業字第261號,獸醫師,開業,名星動物醫院,張惠致,2009/05/13,新北市中和區景平路591號1樓
台中市,中市獸醫開字第223號,獸醫師,開業,華碩動物醫院,廖彥華,2009/05/12,臺中市西區中興里1鄰向上路一段126號
台中市,中縣畜開字第138號,獸醫師,開業,安澤動物醫院,王聰敏,2009/05/11,大甲區新美里光明路281巷32號
台南市,南縣獸師診開字第184號,獸醫師,開業,大愛動物醫院,陸宗廷,2009/04/27,台南市歸仁區中山路3段146號
新北市,北縣獸醫業字第260號,獸醫師,開業,上哲動物醫院沙崙店,陳經國,2009/04/22,淡水區沙崙路6號1樓
桃園市,桃獸師開執字第205號,獸醫師,開業,環東動物醫院,何炳松,2009/04/20,桃園市中壢區環中東路110號
桃園市,桃獸師開執字第204號,獸醫師,開業,中壢太樸動物醫院,曾羿瑞,2009/04/09,桃園市中壢區中北路51號
新北市,北縣獸醫業字第259號,獸醫師,開業,明佳動物醫院,鄭宇光,2009/04/06,新北市中和區宜安路125號1樓
花蓮縣,府農漁開字第27號,獸醫師,開業,慶豐動物醫院,陳主恩,2009/03/23,花蓮縣吉安鄉慶豐村吉安路二段320號
嘉義縣,嘉府獸師開字第59號,獸醫師,開業,仁愛動物醫院,李鴻輝,2009/03/16,嘉義縣東石鄉蔦松村10鄰湖底路20-39號
台北市,北市獸業字第382號,獸醫師,開業,安庭動物醫院,陳宏盈,2009/03/12,臺北市大安區金山南路2段139號1樓及地下1樓
桃園市,桃獸師開執字第203號,獸醫師,開業,新時代動物醫院,林明聰,2009/03/10,桃園市蘆竹區中正路337號
嘉義市,嘉市獸開字第82號,獸醫師,開業,名門動物醫院,郭彥博,2009/03/09,嘉義市中正路334號
台南市,南市獸開字第114號,獸醫師,開業,中美獸醫院和緯院,簡肇儀,2009/03/06,台南市北區和緯路2段231號
新北市,北縣獸醫業字第258號,獸醫師,開業,剛果動物醫院,邱新育,2009/03/06,新北市新店區民權路48號6樓
台北市,北市獸業字第380號,獸醫師,開業,永春動物醫院,張逸紳,2009/02/27,臺北市信義區忠孝東路5段424號1樓
彰化縣,彰府農防師開字第104號,獸醫師,開業,明興動物醫院,劉武雄,2009/02/26,彰化縣員林鎮萬年里(巷)50弄A21號
高雄市,高市獸師開字第240號,獸醫師,開業,健生動物醫院,唐志煌,2009/02/09,高雄市前鎮區一心一路275號
高雄市,高市獸師開字第241號,獸醫師,開業,立宏動物醫院,林彥廷,2009/02/09,高雄市三民區大豐二路290號
宜蘭縣,宜縣獸業字第20號,獸醫師,開業,挪亞動物醫院,陳永森,2009/01/23,宜蘭縣羅東鎮純精路一段223號
新北市,北縣獸醫業字第254號,獸醫師,開業,晶華動物醫院,徐愛明,2009/01/17,永和區中正路185號2樓
嘉義市,府建農字第2號,獸醫師,開業,中華動物醫院,李麗屏,2009/01/16,嘉義西區民生北路143號
台中市,中縣畜開字第136號,獸醫師,開業,新東南動物醫院,廖建隆,2009/01/15,大里區中興路1段316-5號
新北市,北縣獸醫業字第253號,獸醫師,開業,可麗兒動物醫院,吳松田,2009/01/10,新北市土城區中央路2段20之1號1樓
台中市,中縣畜開字第135號,獸醫師,開業,協和動物醫院,孫桂珍,2008/12/23,大甲區中山路1段825-6號
高雄市,高市獸師開字第238號,獸醫師,開業,莒光動物醫院,郭俊文,2008/12/22,高雄市楠梓區加昌路849-851號
桃園市,桃獸師開執字第200號,獸醫師,開業,立仁動物醫院,王勝昌,2008/12/15,桃園市八德區公園路30號
苗栗縣,苗縣獸開字第97027號,獸醫師,開業,安達動物醫院,涂賢達,2008/12/11,頭份鎮田寮里南田街115號
桃園市,桃獸師開執字第198號,獸醫師,開業,振愛動物醫院,黃俊諺,2008/12/03,桃園市中壢區龍東路188號
新北市,北縣獸醫業字第251號,獸醫師,開業,同伴動物醫院,歐陽夢澍,2008/12/03,新北市永和區福和路316-1號
台中市,中縣畜開字第22號,獸醫師,開業,家旭動物醫院,陳徐志政,2008/11/28,霧峰區中正路767-9號
桃園市,桃獸師開執字第196號,獸醫師,開業,圓霖動物醫院中山分院,陳俊源,2008/11/25,桃園市中壢區中山東路2段16號
桃園市,桃獸師開執字第195號,獸醫師,開業,人人動物醫院埔心分院,吳俊瑩,2008/11/24,楊梅鎮埔心里永美路274號
台南市,南縣獸師診開字第182號,獸醫師,開業,邦尼動物醫院,林政翰,2008/11/20,台南市永康區永二街399號
台南市,南縣獸師診開字第181號,獸醫師,開業,摩西動物醫院,王宏文,2008/11/20,台南市新化區大新路15號
台南市,南縣獸師診開字第180號,獸醫師,開業,飛揚動物醫院,李飛憲,2008/11/18,台南市白河區中山路2-10號
新北市,北縣獸醫業字第225號,獸醫師,開業,林口動物醫院,許相瑞,2008/11/17,新北市林口區中正路496號1樓
雲林縣,雲診字第79號,獸醫師,開業,奇恩動物醫院,許家慧,2008/11/14,北港鎮大同路149號
台中市,中市獸醫開字第222號,獸醫師,開業,百科動物醫院,李振銘,2008/11/11,台中市西區忠明南路223號
台中市,中縣畜開字第134號,獸醫師,開業,聖安動物醫院,柯政白,2008/11/05,潭子區中山路1段17-5號
南投縣,投府農畜師開字第24號,獸醫師,開業,長興動物醫院,蘇茂寅,2008/10/29,南投縣草屯鎮太平路二段137號
台中市,中市獸醫開字第221號,獸醫師,開業,金生動物醫院,石金生,2008/10/24,台中市南屯區大墩路671號1樓
台北市,北市獸業字第139號,獸醫師,開業,富康動物醫院,董學康,2008/10/17,臺北市大安區建國南路1段298號1樓
屏東縣,屏獸開字第88號,獸醫師,開業,愛生動物醫院,周明藝,2008/10/14,屏東市安鎮里大興路24號
新竹縣,竹縣字第22號,獸醫師,開業,傑克動物醫院,游昌智,2008/10/09,新竹縣竹北市文信路81號
高雄市,高縣獸醫開字第351號,獸醫師,開業,東林動物醫院,楊清文,2008/09/26,高雄市鳳山區鳳東路373號
台中市,中縣畜開字第132號,獸醫師,開業,城鄉動物醫院,周文浩,2008/09/23,龍井區遊園南路97號
台北市,北市獸業字第379號,獸醫師,開業,勝利動物醫院,詹勝利,2008/09/08,臺北市內湖區康樂街116之2號1樓
高雄市,高縣獸醫開字第350號,獸醫師,開業,全宏動物醫院,周岳宏,2008/09/08,高雄市鳳山區五甲二路135號
桃園市,桃獸師開執字第193號,獸醫師,開業,花客隆動物醫院,陳紫渝,2008/09/08,桃園市永安路348號
新北市,北縣獸醫業字第249號,獸醫師,開業,新北動物醫院,林建良,2008/09/02,新北市汐止區大同路二段456號1樓
台中市,中市獸醫開字第219號,獸醫師,開業,全國貓醫院,覃世芳,2008/08/27,台中市北區進化北路162號
台北市,北市獸業字第378號,獸醫師,開業,佳恩動物醫院,楊佳麟,2008/08/07,臺北市內湖區成功路3段117號1樓
高雄市,高縣獸醫開字第348號,獸醫師,開業,鈞富家畜診所,陳鈞富,2008/07/25,高雄市美濃區吉東里上九寮1-3號
台南市,南縣獸師診開字第176號,獸醫師,開業,聯心動物醫院,蘇峰祺,2008/07/25,台南市永康區中華路714號
新竹縣,竹縣字第21號,獸醫師,開業,安和動物醫院,廖瓏峻,2008/07/18,新竹縣湖口鄉成功路186號
台中市,中市獸醫開字第216號,獸醫師,開業,全國動物醫院北全分院,鄧炳池,2008/07/14,台中市北屯區北屯路220號
高雄市,高市獸師開字第233號,獸醫師,開業,寶貝動物醫院,黃朝慶,2008/06/19,高雄市鼓山區九如四路1175號
新北市,北縣獸醫業字第247號,獸醫師,開業,眾新動物醫院,盧平,2008/06/17,新北市汐止區新興路8號1樓
新北市,北縣獸醫業字第246號,獸醫師,開業,中日動物醫院,陳怡宏,2008/06/12,新北市中和區中山路三段2號1樓
台北市,北市獸業字第10號,獸醫師,開業,博愛動物醫院,林煜淳,2008/06/10,臺北市中正區杭州南路2段92號1樓
新竹縣,竹縣字第20號,獸醫師,開業,里仁動物醫院,范皓森,2008/06/04,新竹縣竹北市文興路一段71號
彰化縣,彰府農防師開字第97號,獸醫師,開業,冠豪動物醫院,徐旻煜,2008/06/02,彰化市彰美路1段230號
高雄市,高市獸師開字第232號,獸醫師,開業,明誠動物醫院,蘇悌,2008/05/16,高雄市三民區明誠一路816號
屏東縣,屏獸開字第86號,獸醫師,開業,沛特動物醫院,謝天,2008/05/12,屏東市廣東路766號
高雄市,高市獸師開字第231號,獸醫師,開業,河堤動物醫院,楊淑如,2008/05/09,高雄市三民區民族一路529-6號
台中市,中市獸醫開字第215號,獸醫師,開業,羅大宇動物醫院,羅致宇,2008/05/09,台中市西區存中街153號
台北市,北市獸業字第373號,獸醫師,開業,亞洲獸醫專科醫院,陳朝澧,2008/05/07,臺北市大安區信義路4段109號1樓
新竹市,竹市建農字第45626號,獸醫師,開業,傑恩動物醫院,彭駿堯,2008/05/05,新竹市西大路303號1樓
高雄市,高縣獸醫開字第340號,獸醫師,開業,高民動物醫院,池介元,2008/04/24,高雄市鳳山區中山西路217之1號
台北市,北市獸業字第375號,獸醫師,開業,幸福動物醫院,陳宗德,2008/04/21,臺北市大安區延吉街251號1樓
嘉義縣,嘉府獸師開字第57號,獸醫師,開業,朴子動物醫院,鄭博在,2008/04/17,嘉義縣朴子市大木康榔995號
台南市,南縣獸師診開字第175號,獸醫師,開業,寶成動物醫院,蔡淑娟,2008/04/10,台南市新營區三民路137-1號
桃園市,桃獸師開執字第191號,獸醫師,開業,桃鶯動物醫院,康必達,2008/04/09,桃園市桃鶯路101號
台南市,南市獸開字第111號,獸醫師,開業,葛瑞斯動物醫院,王國丞,2008/04/03,台南市北區大武街393號
高雄市,高市獸師開字第230號,獸醫師,開業,維康動物醫院,洪明仁,2008/03/13,高雄市左營區新庄仔路233-4號
台中市,中市獸醫開字第212號,獸醫師,開業,宏典動物醫院,詹佩瑾,2008/03/10,臺中市北屯區大連路二段15號
屏東縣,屏獸開字第85號,獸醫師,開業,六興動物醫院,洪信雄,2008/02/22,屏東縣萬丹鄉萬全村萬丹路一段270號
台中市,中市獸醫開字第210號,獸醫師,開業,侏儸紀野生動物專科醫院,朱哲助,2008/02/20,台中市北區英才路351號
台中市,中市獸醫開字第211號,獸醫師,開業,溫馨動物醫院,范博維,2008/02/18,台中市南屯區公益路二段607號
台北市,北市獸業字第128號,獸醫師,開業,龍江獸醫院,陳碧誠,2008/02/15,臺北市龍江路21巷1號1樓
高雄市,高縣獸醫開字第336號,獸醫師,開業,米可動物醫院,許岳蒼,2008/02/05,高雄市鳳山區青年路2段320號
新北市,北縣獸醫業字第241號,獸醫師,開業,祐全動物醫院,陳翔裓,2008/01/30,新北市新莊區幸福路795號
新北市,北縣獸醫業字第239號,獸醫師,開業,貝貝家畜醫院,張寶榮,2008/01/23,新北市八里區中山路2段261號3樓
