description,operator,contact:phone,opening_hours,lat,lon,source,amenity
兒童新樂園飲水機,臺北大眾捷運股份有限公司,+886 02 21812345,06:00-23:00,25.096229,121.514607,data.taipei,drinking_water
寧夏夜市飲水機,星明里里辦公室,+886 933898059,00:00-24:00,25.057021,121.515565,data.taipei,drinking_water
歸綏戲曲公園飲水機,工務局公園處圓山管理所,+886 02 25850192,00:00-24:00,25.058144,121.51342,data.taipei,drinking_water
瑠公圳公園飲水機,工務局公園處青年管理所,+886 02 23032451,00:00-24:00,25.042428,121.54531,data.taipei,drinking_water
富陽公園飲水機,工務局公園處青年管理所,+886 02 23032451,00:00-24:00,25.016597,121.557172,data.taipei,drinking_water
萬芳7號公園飲水機,工務局公園處南港管理所,+886 02 27884255,00:00-24:00,25.042428,121.54531,data.taipei,drinking_water
延吉公園飲水機,工務局公園處青年管理所,+886 02 23032451,00:00-24:00,25.042843,121.555809,data.taipei,drinking_water
臺北當代藝術館飲水機,北水處北區分處,+886 02 21004115,00:00-24:00,25.050625,121.518721,data.taipei,drinking_water
中山地下街飲水機,臺北大眾捷運股份有限公司,+886 02 21812345,06:00-23:00,25.055401,121.520545,data.taipei,drinking_water
北投公園飲水機,工務局公園處陽明山管理所,+886 02 28613368,00:00-24:00,25.136336,121.506229,data.taipei,drinking_water
西本願寺飲水機,公園處園藝西區分隊,+886 02 23071429,00:00-24:00,25.040595,121.506882,data.taipei,drinking_water
自來水園區飲水機,臺北自來水事業處,+886 02 83695104,08:00-18:00,25.013165,121.530215,data.taipei,drinking_water
,,,,,,data.taipei,drinking_water
